Agent, Load, Service Length, Total Served, Valid Suspend Actions, Valid Actions, Life, Average Pending, Average Slowdown, Max Slowdown
firstfit,1.0,2100,6404,0,6533,2028,0.095,0.000,0.000
bestfit,1.0,2100,6588,0,6731,2030,0.087,0.000,0.000
bestfit,1.0,1100,12523,0,12664,1080,0.072,0.000,0.000
firstfit,1.0,1100,12180,0,12313,1079,0.072,0.000,0.000
bestfit,1.0,100,137105,0,137243,98,0.062,0.000,0.000
firstfit,1.0,100,130390,0,130515,98,0.064,0.000,0.000
bestfit,1.0,3100,4466,0,4603,2948,0.094,0.000,0.000
firstfit,1.0,3100,4332,0,4464,2944,0.101,0.000,0.000
firstfit,0.5,1000,9123,0,9223,993,0.002,0.000,0.000
bestfit,0.5,1000,9123,0,9223,993,0.002,0.000,0.000
firstfit,1.0,4100,3296,0,3422,3834,0.111,0.000,0.000
firstfit,0.6,1000,10878,0,10976,994,0.004,0.000,0.000
bestfit,0.6,1000,10879,0,10977,994,0.003,0.000,0.000
bestfit,1.0,4100,3376,0,3512,3840,0.107,0.000,0.000
firstfit,0.7,1000,12592,0,12716,994,0.025,0.000,0.000
bestfit,0.7,1000,12592,0,12718,994,0.009,0.000,0.000
ppo,0.5,1000,9123,8974,27171,994,0.002,0.001,0.016
firstfit,0.8,1000,13362,0,13499,982,0.071,0.000,0.000
bestfit,0.8,1000,13808,0,13943,983,0.073,0.000,0.000
ppo,1.0,3100,4455,13986,32562,5176,0.076,0.174,0.994
ppo,1.0,4100,3328,14022,31507,6911,0.065,0.182,0.992
firstfit,0.9,1000,13368,0,13505,983,0.069,0.000,0.000
bestfit,0.9,1000,13803,0,13937,983,0.069,0.000,0.000
firstfit,1.0,1000,13367,0,13509,982,0.076,0.000,0.000
bestfit,1.0,1000,13802,0,13935,983,0.072,0.000,0.000
ppo,1.0,1100,12630,13879,40532,1659,0.110,0.099,1.000
ppo,1.0,2100,6621,14434,35632,3439,0.091,0.151,1.000
ppo,1.0,100,132828,13361,159684,109,0.084,0.007,1.000
ppo,0.6,1000,10879,10871,32719,995,0.003,0.001,0.208
ppo,0.7,1000,12592,12704,38124,1000,0.013,0.005,0.747
firstfit,1.1,1000,13388,0,13527,982,0.069,0.000,0.000
bestfit,1.1,1000,13853,0,13991,982,0.073,0.000,0.000
ppo,0.8,1000,13848,13908,41797,1430,0.106,0.086,0.997
ppo,0.9,1000,13880,13916,41854,1477,0.113,0.090,0.997
ppo,1.0,1000,13900,13884,41809,1487,0.112,0.088,0.990
ppo,1.1,1000,13931,14208,42487,1495,0.112,0.092,0.997
